estado	count	abrev	lat	long	countlog	text
Aguascalientes	24	Ags.	22.021667	-102.35638900000001	3.1780538303479458	Ags.<br>24
Baja California	23	B. C.	29.95	-115.11666699999999	3.1354942159291497	B. C.<br>23
Baja California Sur	11	B. C. S.	25.846110999999997	-111.972778	2.3978952727983707	B. C. S.<br>11
Campeche	3	Camp.	18.836389	-90.40333299999999	1.0986122886681098	Camp.<br>3
Chiapas	11	Chis.	16.41	-92.408611	2.3978952727983707	Chis.<br>11
Chihuahua	6	Chih.	28.814166999999998	-106.439444	1.791759469228055	Chih.<br>6
Ciudad de México	197	CDMX	19.419444	-99.145556	5.2832037287379885	CDMX<br>197
Coahuila	32	Coah.	27.302221999999997	-102.044722	3.4657359027997265	Coah.<br>32
Colima	2	Col.	19.096667	-103.960833	0.6931471805599453	Col.<br>2
Durango	7	Dgo.	24.934722	-104.91194399999999	1.9459101490553132	Dgo.<br>7
Guanajuato	37	Gto.	21.018889	-101.262778	3.6109179126442243	Gto.<br>37
Guerrero	13	Gro.	17.613056	-99.95	2.5649493574615367	Gro.<br>13
Hidalgo	17	Hgo.	20.478333	-98.86361099999999	2.833213344056216	Hgo.<br>17
Jalisco	85	Jal.	20.566667000000002	-103.676389	4.442651256490317	Jal.<br>85
Michoacán	17	Mich.	19.168611	-101.899722	2.833213344056216	Mich.<br>17
Morelos	6	Mor.	18.7475	-99.070278	1.791759469228055	Mor.<br>6
México	119	Méx.	19.354167	-99.630833	4.77912349311153	Méx.<br>119
Nayarit	5	Nay.	21.743889000000003	-105.228333	1.6094379124341003	Nay.<br>5
Nuevo León	67	N. L.	25.566667000000002	-99.970556	4.204692619390966	N. L.<br>67
Oaxaca	14	Oax.	16.898056	-96.414167	2.6390573296152584	Oax.<br>14
Puebla	66	Pue.	19.003611	-97.88833299999999	4.189654742026425	Pue.<br>66
Quintana Roo	38	Q. R.	19.6	-87.916667	3.6375861597263857	Q. R.<br>38
San Luis Potosí	24	S. L. P.	22.603333	-100.429722	3.1780538303479458	S. L. P.<br>24
Sinaloa	19	Sin.	25.002778	-107.502778	2.9444389791664403	Sin.<br>19
Sonora	14	Son.	29.646110999999998	-110.868889	2.6390573296152584	Son.<br>14
Tabasco	33	Tab.	17.972222	-92.588889	3.4965075614664802	Tab.<br>33
Tamaulipas	7	Tamps.	24.287222	-98.563333	1.9459101490553132	Tamps.<br>7
Tlaxcala	4	Tlax.	19.428889	-98.160833	1.3862943611198906	Tlax.<br>4
Veracruz	24	Ver.	19.434722	-96.38305600000001	3.1780538303479458	Ver.<br>24
Yucatán	41	Yuc.	20.833333	-89.0	3.713572066704308	Yuc.<br>41
Zacatecas	5	Zac.	23.292778	-102.700556	1.6094379124341003	Zac.<br>5
