estado	count	abrev	lat	long	countlog	text
Aguascalientes	36	Ags.	22.021667	-102.35638900000001	3.58351893845611	Ags.<br>36
Baja California	37	B. C.	29.95	-115.11666699999999	3.6109179126442243	B. C.<br>37
Baja California Sur	18	B. C. S.	25.846110999999997	-111.972778	2.8903717578961645	B. C. S.<br>18
Campeche	5	Camp.	18.836389	-90.40333299999999	1.6094379124341003	Camp.<br>5
Chiapas	15	Chis.	16.41	-92.408611	2.70805020110221	Chis.<br>15
Chihuahua	11	Chih.	28.814166999999998	-106.439444	2.3978952727983707	Chih.<br>11
Ciudad de México	297	CDMX	19.419444	-99.145556	5.6937321388027	CDMX<br>297
Coahuila	57	Coah.	27.302221999999997	-102.044722	4.04305126783455	Coah.<br>57
Colima	3	Col.	19.096667	-103.960833	1.0986122886681098	Col.<br>3
Durango	7	Dgo.	24.934722	-104.91194399999999	1.9459101490553132	Dgo.<br>7
Guanajuato	49	Gto.	21.018889	-101.262778	3.8918202981106265	Gto.<br>49
Guerrero	17	Gro.	17.613056	-99.95	2.833213344056216	Gro.<br>17
Hidalgo	21	Hgo.	20.478333	-98.86361099999999	3.044522437723423	Hgo.<br>21
Jalisco	102	Jal.	20.566667000000002	-103.676389	4.624972813284271	Jal.<br>102
Michoacán	24	Mich.	19.168611	-101.899722	3.1780538303479458	Mich.<br>24
Morelos	9	Mor.	18.7475	-99.070278	2.1972245773362196	Mor.<br>9
México	160	Méx.	19.354167	-99.630833	5.075173815233827	Méx.<br>160
Nayarit	8	Nay.	21.743889000000003	-105.228333	2.0794415416798357	Nay.<br>8
Nuevo León	78	N. L.	25.566667000000002	-99.970556	4.356708826689592	N. L.<br>78
Oaxaca	22	Oax.	16.898056	-96.414167	3.091042453358316	Oax.<br>22
Puebla	97	Pue.	19.003611	-97.88833299999999	4.574710978503383	Pue.<br>97
Quintana Roo	51	Q. R.	19.6	-87.916667	3.9318256327243257	Q. R.<br>51
San Luis Potosí	31	S. L. P.	22.603333	-100.429722	3.4339872044851463	S. L. P.<br>31
Sinaloa	32	Sin.	25.002778	-107.502778	3.4657359027997265	Sin.<br>32
Sonora	18	Son.	29.646110999999998	-110.868889	2.8903717578961645	Son.<br>18
Tabasco	52	Tab.	17.972222	-92.588889	3.9512437185814275	Tab.<br>52
Tamaulipas	9	Tamps.	24.287222	-98.563333	2.1972245773362196	Tamps.<br>9
Tlaxcala	5	Tlax.	19.428889	-98.160833	1.6094379124341003	Tlax.<br>5
Veracruz	28	Ver.	19.434722	-96.38305600000001	3.332204510175204	Ver.<br>28
Yucatán	52	Yuc.	20.833333	-89.0	3.9512437185814275	Yuc.<br>52
Zacatecas	6	Zac.	23.292778	-102.700556	1.791759469228055	Zac.<br>6
