estado	abrev	lat	long	poblacion2015
Aguascalientes	Ags.	22.021667	-102.356389	1312544
Baja California	B. C.	29.95	-115.116667	3315766
Baja California Sur	B. C. S.	25.846111	-111.972778	712029
Campeche	Camp.	18.836389	-90.403333	899931
Chiapas	Chis.	16.41	-92.408611	5217908
Chihuahua	Chih.	28.814167	-106.439444	3556574
Ciudad de México	CDMX	19.419444	-99.145556	8918653
Coahuila	Coah.	27.302222	-102.044722	2954915
Colima	Col.	19.096667	-103.960833	711235
Durango	Dgo.	24.934722	-104.911944	1754754
Guanajuato	Gto.	21.018889	-101.262778	5853677
Guerrero	Gro.	17.613056	-99.95	3533251
Hidalgo	Hgo.	20.478333	-98.863611	2858359
Jalisco	Jal.	20.566667	-103.676389	7844830
México	Méx.	19.354167	-99.630833	16187608
Michoacán	Mich.	19.168611	-101.899722	4584471
Morelos	Mor.	18.7475	-99.070278	1903811
Nayarit	Nay.	21.743889	-105.228333	1181050
Nuevo León	N. L.	25.566667	-99.970556	5119504
Oaxaca	Oax.	16.898056	-96.414167	3967889
Puebla	Pue.	19.003611	-97.888333	6168883
Querétaro	Qro.	20.591	-100.391	2038372
Quintana Roo	Q. R.	19.6	-87.916667	1501562
San Luis Potosí	S. L. P.	22.603333	-100.429722	2717820
Sinaloa	Sin.	25.002778	-107.502778	2966321
Sonora	Son.	29.646111	-110.868889	2850330
Tabasco	Tab.	17.972222	-92.588889	2395272
Tamaulipas	Tamps.	24.287222	-98.563333	3441698
Tlaxcala	Tlax.	19.428889	-98.160833	1272847
Veracruz	Ver.	19.434722	-96.383056	8112505
Yucatán	Yuc.	20.833333	-89	2097175
Zacatecas	Zac.	23.292778	-102.700556	1579209
